SEQUENCE1,SEQUENCE2,SEQUENCE3,SEQUENCE4,ORG,OBJ,PROJECT,ACCOUNT,ACCOUNT DESCRIPTION,TYPE,ORIGINAL APPROP,REVISED BUDGET,
1000,10,1010,522510,10000510,522510,,1000-10-13-1010-000000-000000-000-522510-,ISP Telecommunications,E,"6,197","6,197",
1000,10,1010,524000,10000510,524000,,1000-10-13-1010-000000-000000-000-524000-,Rental Of Land & Bldgs,E,0,0,
1000,10,1010,524020,10000510,524020,,1000-10-13-1010-000000-000000-000-524020-,Rental Of Equipment,E,0,0,
1000,10,1010,529000,10000510,529000,,1000-10-13-1010-000000-000000-000-529000-,Travel & Meetings,E,"92,300","92,300",
1000,10,1010,529020,10000510,529020,,1000-10-13-1010-000000-000000-000-529020-,Training Conf & Meetings,E,0,0,
1000,10,1010,529030,10000510,529030,,1000-10-13-1010-000000-000000-000-529030-,Postage,E,"1,250","1,250",
1000,10,1010,529040,10000510,529040,,1000-10-13-1010-000000-000000-000-529040-,Printing & Publishing,E,"13,200","13,200",
1000,10,1010,529050,10000510,529050,,1000-10-13-1010-000000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,"10,260","10,260",
1000,10,1010,529999,10000510,529999,,1000-10-13-1010-000000-000000-000-529999-,Pcard expense - unallocated,E,0,0,
1000,10,1011,510100,10000520,510100,,1000-10-13-1011-101110-000000-000-510100-,Salaries & Wages - Regular,E,"535,524","535,524",
1000,10,1011,510150,10000520,510150,,1000-10-13-1011-101110-000000-000-510150-,Salary & Wage - Temp,E,"2,400","2,400",
1000,10,1011,510195,10000520,510195,,1000-10-13-1011-101110-000000-000-510195-,Employee Merit Pay,E,"11,097","11,097",
1000,10,1011,515130,10000520,515130,,1000-10-13-1011-101110-000000-000-515130-,Social Security Tax,E,"41,698","41,698",
1000,10,1011,515140,10000520,515140,,1000-10-13-1011-101110-000000-000-515140-,Empl Retirement Expns,E,"39,081","39,081",
1000,10,1011,515150,10000520,515150,,1000-10-13-1011-101110-000000-000-515150-,Empl Insurance Premium,E,"57,874","57,874",
1000,10,1011,515190,10000520,515190,,1000-10-13-1011-101110-000000-000-515190-,401K Retirement,E,"13,302","13,302",
1000,10,1011,515200,10000520,515200,,1000-10-13-1011-101110-000000-000-515200-,Othr Empl Fringe Bnfts,E,"2,666","2,666",
1000,10,1011,520050,10000520,520050,,1000-10-13-1011-101110-000000-000-520050-,Auto & Othr Allowances,E,300,300,
1000,10,1011,521910,10000520,521910,,1000-10-13-1011-101110-000000-000-521910-,Misc Contractual Services,E,"9,512","9,512",
1000,10,1011,522210,10000520,522210,,1000-10-13-1011-101110-000000-000-522210-,Specialty Departmental Supplie,E,0,0,
1000,10,1011,522230,10000520,522230,,1000-10-13-1011-101110-000000-000-522230-,Sm Tools & Expnd Eqpt,E,0,0,
1000,10,1011,522240,10000520,522240,,1000-10-13-1011-101110-000000-000-522240-,Office Supplies,E,"1,050","1,050",
1000,10,1011,522250,10000520,522250,,1000-10-13-1011-101110-000000-000-522250-,Technology Services,E,0,0,
1000,10,1011,522500,10000520,522500,,1000-10-13-1011-101110-000000-000-522500-,Telecommunications,E,"5,900","5,900",
1000,10,1011,524010,10000520,524010,,1000-10-13-1011-101110-000000-000-524010-,ISP Rental of Land & Buildings,E,"51,809","51,809",
1000,10,1011,529000,10000520,529000,,1000-10-13-1011-101110-000000-000-529000-,Travel & Meetings,E,"7,000","7,000",
1000,10,1011,529010,10000520,529010,,1000-10-13-1011-101110-000000-000-529010-,Empl Reimb Training Exp,E,"6,000","6,000",
1000,10,1011,529020,10000520,529020,,1000-10-13-1011-101110-000000-000-529020-,Training Conf & Meetings,E,"2,728","2,728",
1000,10,1011,529030,10000520,529030,,1000-10-13-1011-101110-000000-000-529030-,Postage,E,200,200,
1000,10,1011,529040,10000520,529040,,1000-10-13-1011-101110-000000-000-529040-,Printing & Publishing,E,125,125,
1000,10,1011,529050,10000520,529050,,1000-10-13-1011-101110-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,736,736,
1000,11,1110,510100,10000560,510100,,1000-11-13-1110-111010-000000-000-510100-,Salaries & Wages - Regular,E,"1,575,104","1,575,104",
1000,11,1110,510140,10000560,510140,,1000-11-13-1110-111010-000000-000-510140-,Overtime,E,0,0,
1000,11,1110,510150,10000560,510150,,1000-11-13-1110-111010-000000-000-510150-,Salary & Wage - Temp,E,"56,974","56,974",
1000,11,1110,510195,10000560,510195,,1000-11-13-1110-111010-000000-000-510195-,Employee Merit Pay,E,"32,193","32,193",
1000,11,1110,515130,10000560,515130,,1000-11-13-1110-111010-000000-000-515130-,Social Security Tax,E,"128,605","128,605",
1000,11,1110,515140,10000560,515140,,1000-11-13-1110-111010-000000-000-515140-,Empl Retirement Expns,E,"118,270","118,270",
1000,11,1110,515150,10000560,515150,,1000-11-13-1110-111010-000000-000-515150-,Empl Insurance Premium,E,"78,353","78,353",
1000,11,1110,515160,10000560,515160,,1000-11-13-1110-111010-000000-000-515160-,Retiree Insurance Premium,E,"74,162","74,162",
1000,11,1110,515190,10000560,515190,,1000-11-13-1110-111010-000000-000-515190-,401K Retirement,E,"49,835","49,835",
1000,11,1110,515200,10000560,515200,,1000-11-13-1110-111010-000000-000-515200-,Othr Empl Fringe Bnfts,E,"67,849","67,849",
1000,11,1110,520050,10000560,520050,,1000-11-13-1110-111010-000000-000-520050-,Auto & Othr Allowances,E,"7,100","7,100",
1000,11,1110,520110,10000560,520110,,1000-11-13-1110-111010-000000-000-520110-,M&R Equipment,E,"1,109","1,109",
1000,11,1110,520210,10000560,520210,,1000-11-13-1110-111010-000000-000-520210-,Advertising,E,"1,000","1,000",
1000,11,1110,520220,10000570,520220,,1000-11-13-1110-111020-000000-000-520220-,Prof & Technical Services,E,0,0,
1000,11,1110,520250,10000570,520250,,1000-11-13-1110-111020-000000-000-520250-,Management Fees,E,0,0,
1000,11,1110,520610,10000570,520610,,1000-11-13-1110-111020-000000-000-520610-,Education,E,0,0,
1000,11,1110,521910,10000550,521910,,1000-11-00-1110-111010-000000-000-521910-,Misc Contractual Services,E,0,0,
1000,11,1110,521910,10000560,521910,,1000-11-13-1110-111010-000000-000-521910-,Misc Contractual Services,E,"25,795","25,795",
1000,11,1110,522210,10000560,522210,,1000-11-13-1110-111010-000000-000-522210-,Specialty Departmental Supplie,E,500,500,
1000,11,1110,522230,10000570,522230,,1000-11-13-1110-111020-000000-000-522230-,Sm Tools & Expnd Eqpt,E,0,0,
1000,11,1110,522240,10000560,522240,,1000-11-13-1110-111010-000000-000-522240-,Office Supplies,E,"1,650","1,650",
1000,11,1110,522250,10000560,522250,,1000-11-13-1110-111010-000000-000-522250-,Technology Services,E,"7,975","7,975",
1000,11,1110,522490,10000570,522490,,1000-11-13-1110-111020-000000-000-522490-,Other Materials/Supplies,E,0,0,
1000,11,1110,522500,10000560,522500,,1000-11-13-1110-111010-000000-000-522500-,Telecommunications,E,"23,686","23,686",
1000,11,1110,522510,10000560,522510,,1000-11-13-1110-111010-000000-000-522510-,ISP Telecommunications,E,"5,834","5,834",
1000,11,1110,524000,10000570,524000,,1000-11-13-1110-111020-000000-000-524000-,Rental Of Land & Bldgs,E,0,0,
1000,11,1110,524010,10000560,524010,,1000-11-13-1110-111010-000000-000-524010-,ISP Rental of Land & Buildings,E,"78,210","78,210",
1000,11,1110,524020,10000570,524020,,1000-11-13-1110-111020-000000-000-524020-,Rental Of Equipment,E,0,0,
1000,11,1110,529000,10000560,529000,,1000-11-13-1110-111010-000000-000-529000-,Travel & Meetings,E,"109,242","109,242",
1000,11,1110,529020,10000560,529020,,1000-11-13-1110-111010-000000-000-529020-,Training Conf & Meetings,E,"8,500","8,500",
1000,11,1110,529030,10000560,529030,,1000-11-13-1110-111010-000000-000-529030-,Postage,E,"1,300","1,300",
1000,11,1110,529040,10000560,529040,,1000-11-13-1110-111010-000000-000-529040-,Printing & Publishing,E,"4,568","4,568",
1000,11,1110,529050,10000550,529050,,1000-11-00-1110-111010-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,0,0,
1000,11,1110,529050,10000560,529050,,1000-11-13-1110-111010-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,"20,626","20,626",
1000,11,1110,529999,10000560,529999,,1000-11-13-1110-111010-000000-000-529999-,Pcard expense - unallocated,E,0,0,
1000,11,1110,560100,10000560,560100,,1000-11-13-1110-111010-000000-000-560100-,Reimbursed Expenses,E,"13,380","13,380",
1000,11,1120,510100,10000580,510100,,1000-11-13-1120-000000-000000-000-510100-,Salaries & Wages - Regular,E,"1,182,864","1,182,864",
1000,11,1120,510140,10000580,510140,,1000-11-13-1120-000000-000000-000-510140-,Overtime,E,0,0,
1000,11,1120,510195,10000580,510195,,1000-11-13-1120-000000-000000-000-510195-,Employee Merit Pay,E,"19,982","19,982",
1000,11,1120,515130,10000580,515130,,1000-11-13-1120-000000-000000-000-515130-,Social Security Tax,E,"92,386","92,386",
1000,11,1120,515140,10000580,515140,,1000-11-13-1120-000000-000000-000-515140-,Empl Retirement Expns,E,"86,244","86,244",
1000,11,1120,515150,10000580,515150,,1000-11-13-1120-000000-000000-000-515150-,Empl Insurance Premium,E,"123,253","123,253",
1000,11,1120,515160,10000580,515160,,1000-11-13-1120-000000-000000-000-515160-,Retiree Insurance Premium,E,"47,194","47,194",
1000,11,1120,515190,10000580,515190,,1000-11-13-1120-000000-000000-000-515190-,401K Retirement,E,"36,085","36,085",
1000,11,1120,515200,10000580,515200,,1000-11-13-1120-000000-000000-000-515200-,Othr Empl Fringe Bnfts,E,"4,819","4,819",
1000,11,1120,520050,10000580,520050,,1000-11-13-1120-000000-000000-000-520050-,Auto & Othr Allowances,E,300,300,
1000,11,1120,520110,10000580,520110,,1000-11-13-1120-000000-000000-000-520110-,M&R Equipment,E,"23,422","23,422",
1000,11,1120,520210,10000580,520210,,1000-11-13-1120-000000-000000-000-520210-,Advertising,E,"41,000","41,000",
1000,11,1120,520220,10000580,520220,,1000-11-13-1120-000000-000000-000-520220-,Prof & Technical Services,E,0,0,
1000,11,1120,521900,10000580,521900,,1000-11-13-1120-000000-000000-000-521900-,Fees - Other,E,0,0,
1000,11,1120,521910,10000580,521910,,1000-11-13-1120-000000-000000-000-521910-,Misc Contractual Services,E,"288,580","288,580",
1000,11,1120,522000,10000580,522000,,1000-11-13-1120-000000-000000-000-522000-,Motor Fuels & Lubrcnts,E,298,298,
1000,11,1120,522210,10000580,522210,,1000-11-13-1120-000000-000000-000-522210-,Specialty Departmental Supplie,E,"7,400","7,400",
1000,11,1120,522230,10000580,522230,,1000-11-13-1120-000000-000000-000-522230-,Sm Tools & Expnd Eqpt,E,0,0,
1000,11,1120,522240,10000580,522240,,1000-11-13-1120-000000-000000-000-522240-,Office Supplies,E,"2,231","2,231",
1000,11,1120,522250,10000580,522250,,1000-11-13-1120-000000-000000-000-522250-,Technology Services,E,"67,516","67,516",
1000,11,1120,522500,10000580,522500,,1000-11-13-1120-000000-000000-000-522500-,Telecommunications,E,"11,294","11,294",
1000,11,1120,522510,10000580,522510,,1000-11-13-1120-000000-000000-000-522510-,ISP Telecommunications,E,"13,309","13,309",
1000,11,1120,524010,10000580,524010,,1000-11-13-1120-000000-000000-000-524010-,ISP Rental of Land & Buildings,E,"141,552","141,552",
1000,11,1120,529000,10000580,529000,,1000-11-13-1120-000000-000000-000-529000-,Travel & Meetings,E,"3,200","3,200",
1000,11,1120,529020,10000580,529020,,1000-11-13-1120-000000-000000-000-529020-,Training Conf & Meetings,E,"2,500","2,500",
1000,11,1120,529030,10000580,529030,,1000-11-13-1120-000000-000000-000-529030-,Postage,E,"5,410","5,410",
1000,11,1120,529040,10000580,529040,,1000-11-13-1120-000000-000000-000-529040-,Printing & Publishing,E,"35,177","35,177",
1000,11,1120,529050,10000580,529050,,1000-11-13-1120-000000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,"13,708","13,708",
1000,11,1120,529999,10000580,529999,,1000-11-13-1120-000000-000000-000-529999-,Pcard expense - unallocated,E,0,0,
1000,11,1120,560100,10000580,560100,,1000-11-13-1120-000000-000000-000-560100-,Reimbursed Expenses,E,"124,264","124,264",
1000,11,1130,510100,10000590,510100,,1000-11-13-1130-000000-000000-000-510100-,Salaries & Wages - Regular,E,"652,177","652,177",
1000,11,1130,510150,10000590,510150,,1000-11-13-1130-000000-000000-000-510150-,Salary & Wage - Temp,E,0,0,
1000,11,1130,510195,10000590,510195,,1000-11-13-1130-000000-000000-000-510195-,Employee Merit Pay,E,"10,121","10,121",
1000,11,1130,515130,10000590,515130,,1000-11-13-1130-000000-000000-000-515130-,Social Security Tax,E,"51,154","51,154",
1000,11,1130,515140,10000590,515140,,1000-11-13-1130-000000-000000-000-515140-,Empl Retirement Expns,E,"47,487","47,487",
1000,11,1130,515150,10000590,515150,,1000-11-13-1130-000000-000000-000-515150-,Empl Insurance Premium,E,"64,870","64,870",
1000,11,1130,515160,10000590,515160,,1000-11-13-1130-000000-000000-000-515160-,Retiree Insurance Premium,E,"13,484","13,484",
1000,11,1130,515190,10000590,515190,,1000-11-13-1130-000000-000000-000-515190-,401K Retirement,E,"19,869","19,869",
1000,11,1130,515200,10000590,515200,,1000-11-13-1130-000000-000000-000-515200-,Othr Empl Fringe Bnfts,E,"6,386","6,386",
1000,11,1130,520280,10000590,520280,,1000-11-13-1130-000000-000000-000-520280-,Temporary Help Fees,E,"1,000","1,000",
1000,11,1130,521910,10000590,521910,,1000-11-13-1130-000000-000000-000-521910-,Misc Contractual Services,E,"5,612","30,778",
1000,11,1130,522210,10000590,522210,,1000-11-13-1130-000000-000000-000-522210-,Specialty Departmental Supplie,E,0,0,
1000,11,1130,522230,10000590,522230,,1000-11-13-1130-000000-000000-000-522230-,Sm Tools & Expnd Eqpt,E,0,0,
1000,11,1130,522240,10000590,522240,,1000-11-13-1130-000000-000000-000-522240-,Office Supplies,E,"2,918","2,918",
1000,11,1130,522490,10000590,522490,,1000-11-13-1130-000000-000000-000-522490-,Other Materials/Supplies,E,0,0,
1000,11,1130,522500,10000590,522500,,1000-11-13-1130-000000-000000-000-522500-,Telecommunications,E,"4,803","4,803",
1000,11,1130,522510,10000590,522510,,1000-11-13-1130-000000-000000-000-522510-,ISP Telecommunications,E,"4,648","4,648",
1000,11,1130,524010,10000590,524010,,1000-11-13-1130-000000-000000-000-524010-,ISP Rental of Land & Buildings,E,"78,565","78,565",
1000,11,1130,529000,10000590,529000,,1000-11-13-1130-000000-000000-000-529000-,Travel & Meetings,E,"1,500","1,500",
1000,11,1130,529020,10000590,529020,,1000-11-13-1130-000000-000000-000-529020-,Training Conf & Meetings,E,"3,486","3,486",
1000,11,1130,529030,10000590,529030,,1000-11-13-1130-000000-000000-000-529030-,Postage,E,"1,000","1,000",
1000,11,1130,529040,10000590,529040,,1000-11-13-1130-000000-000000-000-529040-,Printing & Publishing,E,"3,000","3,000",
1000,11,1130,529050,10000590,529050,,1000-11-13-1130-000000-000000-000-529050-,"Dues,Subscr, & Prof Lic",E,500,500,
1000,11,1130,529999,10000590,529999,,1000-11-13-1130-000000-000000-000-529999-,Pcard expense - unallocated,E,0,0,
1000,11,1130,560100,10000590,560100,,1000-11-13-1130-000000-000000-000-560100-,Reimbursed Expenses,E,"7,484","7,484",
1000,11,1140,510100,10000600,510100,,1000-11-13-1140-000000-000000-000-510100-,Salaries & Wages - Regular,E,"5,178,479","5,178,479",
1000,11,1140,510140,10000600,510140,,1000-11-13-1140-000000-000000-000-510140-,Overtime,E,0,0,
1000,11,1140,510150,10000600,510150,,1000-11-13-1140-000000-000000-000-510150-,Salary & Wage - Temp,E,"26,200","26,200",
1000,11,1140,510190,10000600,510190,,1000-11-13-1140-000000-000000-000-510190-,Salary & Wages-Part-Time,E,"44,493","44,493",
1000,11,1140,510195,10000600,510195,,1000-11-13-1140-000000-000000-000-510195-,Employee Merit Pay,E,"65,478","65,478",
1000,11,1140,515130,10000600,515130,,1000-11-13-1140-000000-000000-000-515130-,Social Security Tax,E,"402,160","402,160",
1000,11,1140,515140,10000600,515140,,1000-11-13-1140-000000-000000-000-515140-,Empl Retirement Expns,E,"371,685","371,685",
1000,11,1140,515150,10000600,515150,,1000-11-13-1140-000000-000000-000-515150-,Empl Insurance Premium,E,"840,875","840,875",
1000,11,1140,515160,10000600,515160,,1000-11-13-1140-000000-000000-000-515160-,Retiree Insurance Premium,E,"60,678","60,678",
1000,11,1140,515180,10000600,515180,,1000-11-13-1140-000000-000000-000-515180-,Unemploymnt Comp Or Taxes,E,"37,648","37,648",
1000,11,1140,515190,10000600,515190,,1000-11-13-1140-000000-000000-000-515190-,401K Retirement,E,"153,788","153,788",
1000,11,1140,520020,10000600,520020,,1000-11-13-1140-000000-000000-000-520020-,ISP Workmens Compensation,E,"13,318","13,318",
1000,11,1140,520050,10000600,520050,,1000-11-13-1140-000000-000000-000-520050-,Auto & Othr Allowances,E,"14,392","14,392",
1000,11,1140,520060,10000600,520060,,1000-11-13-1140-000000-000000-000-520060-,Meals and Subsistence,E,"18,055","18,055",
1000,11,1140,520210,10000600,520210,,1000-11-13-1140-000000-000000-000-520210-,Advertising,E,"3,800","3,800",
1000,11,1140,521910,10000600,521910,,1000-11-13-1140-000000-000000-000-521910-,Misc Contractual Services,E,"60,782","60,782",
1000,11,1140,522210,10000600,522210,,1000-11-13-1140-000000-000000-000-522210-,Specialty Departmental Supplie,E,"7,200","7,200",
1000,11,1140,522230,10000600,522230,,1000-11-13-1140-000000-000000-000-522230-,Sm Tools & Expnd Eqpt,E,"1,000","1,000",
1000,11,1140,522240,10000600,522240,,1000-11-13-1140-000000-000000-000-522240-,Office Supplies,E,"13,188","13,188",
1000,11,1140,522250,10000600,522250,,1000-11-13-1140-000000-000000-000-522250-,Technology Services,E,"608,126","608,126",
